,,,,,,,,,,
K=1000,LSTM,,Bi-LSTM,,GRU,,Bi-GRU,,RNN,
,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters
Increment-1,12.17025041,368369,33.22415209,375649,9.528922081,366749,17.53189373,372209,9.54243207,365329
Increment-2,54.324754,544318,112.8125865,425203,38.15758157,541162,67.60910416,542654,37.63973069,583456
Increment-3,87.1056039,685235,174.600007,530734,40.2763598,679775,74.21906424,680627,44.42035889,668938
Increment-4,90.8671,965683,300.985057,1180689,67.72704816,957919,123.9877548,967987,65.1899731,924883
Increment-5,117.9719453,1220641,304.5243394,1248401,90.32428956,1219533,166.8760889,1219833,87.85319042,1239025
,,,,,,,,,,
K=2000,LSTM,,Bi-LSTM,,GRU,,Bi-GRU,,RNN,
,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters
Increment-1,12.4761641,368369,35.42812347,375649,9.620255232,366749,18.1159482,372209,9.208673954,365329
Increment-2,63.50150347,595006,157.8982,601134,58.84277868,600426,110.2912488,604094,51.83957839,602462
Increment-3,88.32629871,744371,184.9270473,763811,63.02061248,753247,126.4532022,758579,63.22208428,738643
Increment-4,113.7815406,967731,247.4332392,1198358,88.21373439,977887,160.3405054,981683,85.56215143,970707
Increment-5,140.7420604,1250337,358.4404256,1254929,110.3575006,1245645,210.9311976,1247649,101.2428603,1248705
,,,,,,,,,,
K=3000,LSTM,,Bi-LSTM,,GRU,,Bi-GRU,,RNN,
,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters
Increment-1,17.82559657,368369,23.62391925,375649,12.02434707,366749,21.54235601,372209,9.612704515,365329
Increment-2,121.1488421,631358,246.5018899,985251,108.5379479,632810,156.3782434,982228,77.36027193,645598
Increment-3,140.7540243,783027,163.0895722,679192,110.8098228,789471,198.581181,711870,83.26924133,791379
Increment-4,158.609376,976435,167.4983015,745646,145.2715621,981855,263.7192264,982195,99.77436376,976083
Increment-5,223.3044047,1267105,292.805331,1306769,177.7420034,1263053,339.2562344,1299105,128.9966786,1265473
,,,,,,,,,,
K=4000,LSTM,,Bi-LSTM,,GRU,,Bi-GRU,,RNN,
,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters
Increment-1,17.58892608,368369,30.26309395,375649,9.650879622,366749,18.86524224,372209,9.478568792,365329
Increment-2,142.7995722,643390,296.901067,645166,112.6536191,632810,201.1809723,648638,616926,92.63678336
Increment-3,171.0220664,809395,315.6479366,818211,118.8923459,794079,220.9766505,800179,785747,106.6124384
Increment-4,191.6524107,977843,401.6698585,984611,145.8375354,976479,276.8343179,989619,977107,132.8927267
Increment-5,227.009645,1272225,440.1576858,1282193,174.8229244,1275341,315.7860136,1283745,1265345,146.6049743
,,,,,,,,,,
K=5000,LSTM,,Bi-LSTM,,GRU,,Bi-GRU,,RNN,
,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters,Training Time ,Trainable Parameters
Increment-1,15.2864387,368369,30.36109328,375649,9.79928875,366749,17.82884836,372209,8.683888197,365329
Increment-2,186.2159109,649278,344.9455283,651566,135.2094767,648042,276.6618254,825395,99.3844409,643806
Increment-3,276.3778961,816691,420.5720563,805795,139.0590732,816863,282.3975949,663358,99.68492317,805843
Increment-4,353.9502432,981811,511.6125638,1287697,163.4131677,979551,311.3562222,983347,129.8568864,977875
Increment-5,393.6161857,1281825,681.4970462,981155,197.0396976,1276365,4116.013969,1280417,149.6831129,1274689
,,,,,,,,,,
,,,,,,,,,,
https://www.socscistatistics.com/tests/mannwhitney/default2.aspx,,,,,,,,,,